TIMESTAMP,DISTANCE,AVG_LAT,AVG_LNG,GPS_ACCURACY,AVG_SPEED_BY_GPS,ACCLERATOR_STD,MAX_ACCLERATOR,MIN_ACCLERATOR,PERCENTILE_25_ACCLERATOR,PERCENTILE_75_ACCLERATOR,ACCLERATOR_ENTROPY,AVG_ROLL,AVG_YAW,AVG_PITCH,WEEK_DAY
1480000920,3.0106732729608607,42.331550060507176,-71.110006286626472,10.0,0.05017788788268101,0.00028934776830022451,0.00078304413067363629,3.7148018919223636e-06,4.6997747378461339e-06,1.1791973888039645e-05,1.7917594692280547,-0.18793640803460812,-0.68468496269798507,0.0050506692272161606,4
1480000950,0.0,42.331549208650706,-71.110004978320703,10.0,0.0,7.8286933351774004e-05,0.00022878570612129052,2.6911211071723703e-06,4.1555452258212081e-06,7.328311527758705e-06,1.945910149055313,-0.22179088440773614,-0.82444620905630439,-0.14293191569686217,4
1480000980,0.0,42.331549208650706,-71.110004978320703,10.0,0.0,8.4104851007047295e-05,0.00022878570612129052,1.1425501393940049e-06,1.9018552242281188e-06,6.7026589754983698e-06,1.7917594692280547,-0.22193396720839967,-0.82334813400009421,-0.14261194842205902,4
1480001010,0.0,42.331549208650706,-71.110004978320703,10.0,0.0,3.3712134483908478e-06,1.1260670314862948e-05,4.8374580705609874e-07,1.4533745406157577e-06,3.7166541491528424e-06,1.945910149055313,-0.22219453419624971,-0.82350488271208333,-0.14220344009379887,4
1480001040,0.0,42.331549208650706,-71.110004978320703,10.0,0.0,1.9729358408955953e-05,6.0198273679184921e-05,4.8374580705609874e-07,3.5885995930762257e-06,7.6310179659466035e-06,1.945910149055313,-0.22273153233175913,-0.82304864108692466,-0.14246699304201929,4
1480001070,0.0,42.331549208650706,-71.110004978320703,10.0,0.0,2.125646214824579e-05,6.0198273679184921e-05,4.1568416498457764e-07,3.3690290813966708e-06,4.788146310845596e-06,1.7917594692280547,-0.22377195128720398,-0.82308462809905736,-0.1428584781976695,4
1480001100,0.0,42.331549208650706,-71.110004978320703,10.0,0.0,1.4976163816176601e-06,5.3336645509847315e-06,4.1568416498457764e-07,3.0179673813222832e-06,4.2320742713722109e-06,1.945910149055313,-0.22432202538298002,-0.82401565304485591,-0.14295352453742657,4
1480001130,0.0,42.331549208650706,-71.110004978320703,10.0,0.0,1.41721738106125e-06,5.4065609771104254e-06,9.5183718143115568e-07,3.0179673813222832e-06,4.3700261705084522e-06,1.945910149055313,-0.22492981076254656,-0.82435121634603037,-0.14277958705430444,4
1480001160,0.0,42.331549208650706,-71.110004978320703,10.0,0.0,3.0558100571579526e-06,9.3132526244543149e-06,2.4545037991487067e-07,1.2883922497161769e-06,4.8523095855855289e-06,1.7917594692280547,-0.22549148519856801,-0.82479691284967738,-0.14238506979541532,4
1480001190,0.0,42.331549208650706,-71.110004978320703,10.0,0.0,3.096263693591352e-06,9.3132526244543149e-06,2.4545037991487067e-07,6.5010129858463037e-07,2.1783990837321151e-06,1.7917594692280547,-0.22544354809354464,-0.82472906686173886,-0.14220029795588782,4
1480001220,0.0,42.331549208650706,-71.110004978320703,10.0,0.0,1.663478475555827e-06,5.9546619423014947e-06,3.7253775692456578e-07,1.4327272599091371e-06,2.7929262603312076e-06,1.945910149055313,-0.22567979982825298,-0.82393923931854673,-0.14224134084000928,4
1480001250,0.0,42.331549208650706,-71.110004978320703,10.0,0.0,3.9322698961248964e-06,1.3482594259769259e-05,1.3826625962534502e-06,2.2843850859508611e-06,4.4897877843215298e-06,1.945910149055313,-0.2257613747804133,-0.82375045757629006,-0.14258818064356116,4
