TIMESTAMP,DISTANCE,AVG_LAT,AVG_LNG,GPS_ACCURACY,AVG_SPEED_BY_GPS,ACCLERATOR_STD,MAX_ACCLERATOR,MIN_ACCLERATOR,PERCENTILE_25_ACCLERATOR,PERCENTILE_75_ACCLERATOR,ACCLERATOR_ENTROPY,AVG_ROLL,AVG_YAW,AVG_PITCH,WEEK_DAY
1478782860,0.980615025714297,42.331695507857212,-71.109859069757562,40.0,0.01634358376190495,5.4749041735589364e-06,7.259126337564418e-05,6.1641455028526307e-05,6.4378907115305776e-05,6.9853811288864712e-05,0.69314718055994529,-0.20566105241744184,-0.088958472611959757,0.12546508384638977,4
1478782890,7.366156031089849,42.33168583229925,-71.109892811032239,33.333333333333336,0.12276926718483082,1.2711452228908916e-05,7.259126337564418e-05,3.6918386354860961e-05,4.0277265406559097e-05,5.9816284427010215e-05,1.7917594692280547,-0.060926817588708514,-0.18152417917579508,0.055855537573305129,4
1478782920,7.5153791662128935,42.331679139325715,-71.109913615576104,29.666666666666668,0.12525631943688156,8.1234596710727357e-06,5.4340772622461931e-05,3.0576626106570845e-05,3.7457891069231738e-05,4.9982863159044318e-05,1.945910149055313,0.011484476524174328,-0.22781530268591416,0.020803084358814745,4
1478782950,1.8247244815369075,42.331655407363876,-71.109921114585489,25.333333333333332,0.03041207469228179,8.7089042030995897e-06,5.2848852042659788e-05,2.8166153626400458e-05,3.2113980591574217e-05,4.5652891585570932e-05,1.7917594692280547,0.011608969114731632,-0.22793654982994935,0.020347420504551933,4
1478782980,0.0,42.331633530596605,-71.109924679688319,22.0,0.0,7.4749756103953719e-06,4.711653249024084e-05,2.4775023070437212e-05,2.9895735924718271e-05,4.0098521587358178e-05,1.945910149055313,0.011703939151776413,-0.22785439698009841,0.020160742520693914,4
1478783010,0.0,42.331633530596605,-71.109924679688319,16.333333333333332,0.0,3.3838058514681534e-05,0.000128786592333578,2.4775023070437212e-05,2.9618276354066469e-05,4.5852357712615626e-05,1.945910149055313,0.011757613724675887,-0.2276917188656693,0.019885669946859287,4
1478783040,0.0,42.331633530596605,-71.109924679688319,10.0,0.0,3.5747457720788641e-05,0.000128786592333578,2.5554226717369972e-05,2.9494577689661213e-05,4.5723880658815995e-05,1.7917594692280547,0.011821135246426981,-0.22783289026623046,0.019534331741737482,4
1478783070,0.0,42.331633530596605,-71.109924679688319,11.333333333333334,0.0,5.8418404971268131e-06,4.1534335846926657e-05,2.5554226717369972e-05,2.8143625943438816e-05,3.846114986590164e-05,1.945910149055313,0.011819818870794771,-0.22791451084863928,0.019484353457480456,4
1478783100,0.0,42.331633530596605,-71.109924679688319,12.0,0.0,6.9797689965365313e-06,4.6619361172303459e-05,2.7175064250074048e-05,2.9173237882972984e-05,4.013113091738182e-05,1.945910149055313,0.011806973450830743,-0.22770573589001927,0.019403605147463972,4
1478783130,0.0,42.331633530596605,-71.109924679688319,11.0,0.0,6.4727684724425858e-06,4.6619361172303459e-05,2.6390378302592939e-05,2.9531394017154477e-05,3.4219208736913082e-05,1.7917594692280547,0.011873006719998034,-0.22815255000956949,0.019298356105142703,4
