Timestamp, Data Source, Data, Display Value, Raw Value
2016-11-15T15:45:19Z, GPS, Latitude, 42.3390168557338
2016-11-15T15:45:19Z, GPS, Longitude, -71.0882494133628
2016-11-15T15:45:19Z, GPS, Altitude, 4.26250839233398
2016-11-15T15:45:19Z, GPS, Horizontal Accuracy, 50.0
2016-11-15T15:45:19Z, Acceleration (via User), x, -0.0196284893900156
2016-11-15T15:45:19Z, Acceleration (via User), y, 0.0170339420437813
2016-11-15T15:45:19Z, Acceleration (via User), z, -0.00617614248767495
2016-11-15T15:45:19Z, Attitude, Roll, -0.229963075170973
2016-11-15T15:45:19Z, Attitude, Yaw, -1.91976881064984
2016-11-15T15:45:19Z, Attitude, Pitch, 0.356785049092825
2016-11-15T15:45:19Z, Magnetometer (corrected for device), x, -15.1628503799438
2016-11-15T15:45:19Z, Magnetometer (corrected for device), y, -19.4486255645752
2016-11-15T15:45:19Z, Magnetometer (corrected for device), z, -36.9354248046875
2016-11-15T15:45:19Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-15T15:45:19Z, GPS, Latitude, 42.3390168557338
2016-11-15T15:45:19Z, GPS, Longitude, -71.0882494133628
2016-11-15T15:45:19Z, GPS, Altitude, 4.26250839233398
2016-11-15T15:45:19Z, GPS, Horizontal Accuracy, 50.0
2016-11-15T15:45:20Z, GPS, Latitude, 42.3390168557338
2016-11-15T15:45:20Z, GPS, Longitude, -71.0882494133628
2016-11-15T15:45:20Z, GPS, Altitude, 4.25494003295898
2016-11-15T15:45:20Z, GPS, Horizontal Accuracy, 50.0
2016-11-15T15:45:21Z, GPS, Latitude, 42.3390168557338
2016-11-15T15:45:21Z, GPS, Longitude, -71.0882494133628
2016-11-15T15:45:21Z, GPS, Altitude, 4.25289535522461
2016-11-15T15:45:21Z, GPS, Horizontal Accuracy, 50.0
2016-11-15T15:45:22Z, GPS, Latitude, 42.3390168557338
2016-11-15T15:45:22Z, GPS, Longitude, -71.0882494133628
2016-11-15T15:45:22Z, GPS, Altitude, 4.28939437866211
2016-11-15T15:45:22Z, GPS, Horizontal Accuracy, 50.0
2016-11-15T15:45:23Z, GPS, Latitude, 42.3390168557338
2016-11-15T15:45:23Z, GPS, Longitude, -71.0882494133628
2016-11-15T15:45:23Z, GPS, Altitude, 4.28362655639648
2016-11-15T15:45:23Z, GPS, Horizontal Accuracy, 50.0
2016-11-15T15:45:24Z, GPS, Latitude, 42.3390168557338
2016-11-15T15:45:24Z, GPS, Longitude, -71.0882494133628
2016-11-15T15:45:24Z, GPS, Altitude, 4.28170394897461
2016-11-15T15:45:24Z, GPS, Horizontal Accuracy, 50.0
2016-11-15T15:45:25Z, GPS, Latitude, 42.3390168557338
2016-11-15T15:45:25Z, GPS, Longitude, -71.0882494133628
2016-11-15T15:45:25Z, GPS, Altitude, 4.27999496459961
2016-11-15T15:45:25Z, GPS, Horizontal Accuracy, 50.0
2016-11-15T15:45:26Z, GPS, Latitude, 42.3390168557338
2016-11-15T15:45:26Z, GPS, Longitude, -71.0882494133628
2016-11-15T15:45:26Z, GPS, Altitude, 4.28625106811523
2016-11-15T15:45:26Z, GPS, Horizontal Accuracy, 50.0
2016-11-15T15:45:27Z, GPS, Latitude, 42.3390168557338
2016-11-15T15:45:27Z, GPS, Longitude, -71.0882494133628
2016-11-15T15:45:27Z, GPS, Altitude, 4.29577255249023
2016-11-15T15:45:27Z, GPS, Horizontal Accuracy, 50.0
2016-11-15T15:45:28Z, GPS, Latitude, 42.3390168557338
2016-11-15T15:45:28Z, GPS, Longitude, -71.0882494133628
2016-11-15T15:45:28Z, GPS, Altitude, 4.29388046264648
2016-11-15T15:45:28Z, GPS, Horizontal Accuracy, 50.0
