Timestamp, Data Source, Data, Display Value, Raw Value
2016-11-27T20:12:47Z, GPS, Latitude, 42.3387436221697
2016-11-27T20:12:47Z, GPS, Longitude, -71.0882083737254
2016-11-27T20:12:47Z, GPS, Altitude, 10.1436319351196
2016-11-27T20:12:47Z, GPS, Horizontal Accuracy, 65.0
2016-11-27T20:12:47Z, Acceleration (via User), x, 0.00684415269643068
2016-11-27T20:12:47Z, Acceleration (via User), y, -0.0471275821328163
2016-11-27T20:12:47Z, Acceleration (via User), z, -0.0318259075284004
2016-11-27T20:12:47Z, Attitude, Roll, -0.134097024419567
2016-11-27T20:12:47Z, Attitude, Yaw, -0.499766032098399
2016-11-27T20:12:47Z, Attitude, Pitch, 0.482759362793779
2016-11-27T20:12:47Z, Magnetometer (corrected for device), x, 0.430160522460938
2016-11-27T20:12:47Z, Magnetometer (corrected for device), y, -10.2287063598633
2016-11-27T20:12:47Z, Magnetometer (corrected for device), z, -53.8346252441406
2016-11-27T20:12:47Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-27T20:12:47Z, GPS, Latitude, 42.3387436221697
2016-11-27T20:12:47Z, GPS, Longitude, -71.0882083737254
2016-11-27T20:12:47Z, GPS, Altitude, 10.1436319351196
2016-11-27T20:12:47Z, GPS, Horizontal Accuracy, 65.0
2016-11-27T20:12:53Z, GPS, Latitude, 42.3387586923513
2016-11-27T20:12:53Z, GPS, Longitude, -71.0882144384689
2016-11-27T20:12:53Z, GPS, Altitude, 10.0140857696533
2016-11-27T20:12:53Z, GPS, Horizontal Accuracy, 65.0
2016-11-27T20:12:56Z, Acceleration (via User), x, -0.000562605913728476
2016-11-27T20:12:56Z, Acceleration (via User), y, 0.000159332616021857
2016-11-27T20:12:56Z, Acceleration (via User), z, 0.000600285886321217
2016-11-27T20:12:56Z, Attitude, Roll, -0.00755227899646539
2016-11-27T20:12:56Z, Attitude, Yaw, -0.471210411826602
2016-11-27T20:12:56Z, Attitude, Pitch, -0.124198416031802
2016-11-27T20:12:56Z, Magnetometer (corrected for device), x, 26.056396484375
2016-11-27T20:12:56Z, Magnetometer (corrected for device), y, 24.7768745422363
2016-11-27T20:12:56Z, Magnetometer (corrected for device), z, -41.0866088867188
2016-11-27T20:12:56Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-27T20:13:00Z, GPS, Latitude, 42.3387448613631
2016-11-27T20:13:00Z, GPS, Longitude, -71.0881985215325
2016-11-27T20:13:00Z, GPS, Altitude, 10.0006494522095
2016-11-27T20:13:00Z, GPS, Horizontal Accuracy, 65.0
2016-11-27T20:13:05Z, Acceleration (via User), x, 0.00128944497555494
2016-11-27T20:13:05Z, Acceleration (via User), y, -0.00497346557676792
2016-11-27T20:13:05Z, Acceleration (via User), z, -0.0248064789921045
2016-11-27T20:13:05Z, Attitude, Roll, -0.0801157799471202
2016-11-27T20:13:05Z, Attitude, Yaw, 0.901465718329738
2016-11-27T20:13:05Z, Attitude, Pitch, -1.25909062125311
2016-11-27T20:13:05Z, Magnetometer (corrected for device), x, 5.1993408203125
2016-11-27T20:13:05Z, Magnetometer (corrected for device), y, 64.0427703857422
2016-11-27T20:13:05Z, Magnetometer (corrected for device), z, -31.5034790039062
2016-11-27T20:13:05Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-27T20:13:09Z, GPS, Latitude, 42.3387232201887
2016-11-27T20:13:09Z, GPS, Longitude, -71.0881999162046
2016-11-27T20:13:09Z, GPS, Altitude, 10.116792678833
2016-11-27T20:13:09Z, GPS, Horizontal Accuracy, 65.0
2016-11-27T20:13:14Z, Acceleration (via User), x, 0.00229721190407872
2016-11-27T20:13:14Z, Acceleration (via User), y, -0.000749175495002419
2016-11-27T20:13:14Z, Acceleration (via User), z, 0.0124210435897112
2016-11-27T20:13:14Z, Attitude, Roll, -0.0139434397534062
2016-11-27T20:13:14Z, Attitude, Yaw, 1.20464063754686
2016-11-27T20:13:14Z, Attitude, Pitch, -0.0218232954001377
2016-11-27T20:13:14Z, Magnetometer (corrected for device), x, 9.05513000488281
2016-11-27T20:13:14Z, Magnetometer (corrected for device), y, -37.4086112976074
2016-11-27T20:13:14Z, Magnetometer (corrected for device), z, -40.1475524902344
2016-11-27T20:13:14Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-27T20:13:16Z, GPS, Latitude, 42.3387394545634
2016-11-27T20:13:16Z, GPS, Longitude, -71.0882030052276
2016-11-27T20:13:16Z, GPS, Altitude, 10.163197517395
2016-11-27T20:13:16Z, GPS, Horizontal Accuracy, 65.0
2016-11-27T20:13:23Z, Acceleration (via User), x, -0.000861639389768243
2016-11-27T20:13:23Z, Acceleration (via User), y, -0.00074484694050625
2016-11-27T20:13:23Z, Acceleration (via User), z, 0.00725802080705762
2016-11-27T20:13:23Z, Attitude, Roll, -0.0147217636471329
2016-11-27T20:13:23Z, Attitude, Yaw, 1.20417866258182
2016-11-27T20:13:23Z, Attitude, Pitch, -0.0222615782042344
2016-11-27T20:13:23Z, Magnetometer (corrected for device), x, 8.82954406738281
2016-11-27T20:13:23Z, Magnetometer (corrected for device), y, -37.2598075866699
2016-11-27T20:13:23Z, Magnetometer (corrected for device), z, -39.9957885742188
2016-11-27T20:13:23Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-27T20:13:25Z, GPS, Latitude, 42.3387395176824
2016-11-27T20:13:25Z, GPS, Longitude, -71.0882029075316
2016-11-27T20:13:25Z, GPS, Altitude, 10.163197517395
2016-11-27T20:13:25Z, GPS, Horizontal Accuracy, 65.0
2016-11-27T20:13:27Z, GPS, Latitude, 42.3387528047881
2016-11-27T20:13:27Z, GPS, Longitude, -71.0882097139741
2016-11-27T20:13:27Z, GPS, Altitude, 9.98468017578125
2016-11-27T20:13:27Z, GPS, Horizontal Accuracy, 65.0
2016-11-27T20:13:32Z, Acceleration (via User), x, 0.00106010655872524
2016-11-27T20:13:32Z, Acceleration (via User), y, -0.000273428508080542
2016-11-27T20:13:32Z, Acceleration (via User), z, 0.00742620695382357
2016-11-27T20:13:32Z, Attitude, Roll, -0.014293370681122
2016-11-27T20:13:32Z, Attitude, Yaw, 1.2042273277038
2016-11-27T20:13:32Z, Attitude, Pitch, -0.0218358326504754
2016-11-27T20:13:32Z, Magnetometer (corrected for device), x, 9.13044738769531
2016-11-27T20:13:32Z, Magnetometer (corrected for device), y, -37.4830894470215
2016-11-27T20:13:32Z, Magnetometer (corrected for device), z, -40.4484252929688
2016-11-27T20:13:32Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-27T20:13:36Z, GPS, Latitude, 42.3387528634296
2016-11-27T20:13:36Z, GPS, Longitude, -71.0882096225699
2016-11-27T20:13:36Z, GPS, Altitude, 9.98468017578125
2016-11-27T20:13:36Z, GPS, Horizontal Accuracy, 65.0
2016-11-27T20:13:39Z, GPS, Latitude, 42.3387128868028
2016-11-27T20:13:39Z, GPS, Longitude, -71.0881574739704
2016-11-27T20:13:39Z, GPS, Altitude, 9.92378616333008
2016-11-27T20:13:39Z, GPS, Horizontal Accuracy, 65.0
2016-11-27T20:13:41Z, Acceleration (via User), x, 0.000236432257224806
2016-11-27T20:13:41Z, Acceleration (via User), y, -0.000649517111014575
2016-11-27T20:13:41Z, Acceleration (via User), z, 0.00522519880905747
2016-11-27T20:13:41Z, Attitude, Roll, -0.0144921159917395
2016-11-27T20:13:41Z, Attitude, Yaw, 1.20419407573585
2016-11-27T20:13:41Z, Attitude, Pitch, -0.0218762375646742
2016-11-27T20:13:41Z, Magnetometer (corrected for device), x, 9.5057373046875
2016-11-27T20:13:41Z, Magnetometer (corrected for device), y, -37.5564384460449
2016-11-27T20:13:41Z, Magnetometer (corrected for device), z, -39.9995727539062
2016-11-27T20:13:41Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-27T20:13:48Z, GPS, Latitude, 42.3387129425724
2016-11-27T20:13:48Z, GPS, Longitude, -71.0881573895455
2016-11-27T20:13:48Z, GPS, Altitude, 9.92378616333008
2016-11-27T20:13:48Z, GPS, Horizontal Accuracy, 65.0
2016-11-27T20:13:50Z, Acceleration (via User), x, 0.000267841853201389
2016-11-27T20:13:50Z, Acceleration (via User), y, 0.000292776094283909
2016-11-27T20:13:50Z, Acceleration (via User), z, 0.00455338321626186
2016-11-27T20:13:50Z, Magnetometer (corrected for device), x, 9.58253479003906
2016-11-27T20:13:50Z, Magnetometer (corrected for device), y, -38.006160736084
2016-11-27T20:13:50Z, Magnetometer (corrected for device), z, -39.7793579101562
2016-11-27T20:13:50Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-27T20:13:50Z, Attitude, Roll, -0.0144930143466148
2016-11-27T20:13:50Z, Attitude, Yaw, 1.20479632408661
2016-11-27T20:13:50Z, Attitude, Pitch, -0.0218952526024759
2016-11-27T20:13:51Z, GPS, Latitude, 42.3386690346604
2016-11-27T20:13:51Z, GPS, Longitude, -71.0881253792434
2016-11-27T20:13:51Z, GPS, Altitude, 9.8759593963623
2016-11-27T20:13:51Z, GPS, Horizontal Accuracy, 65.0
2016-11-27T20:13:59Z, Acceleration (via User), x, 0.000609034847002476
2016-11-27T20:13:59Z, Acceleration (via User), y, 0.000225125797442161
2016-11-27T20:13:59Z, Acceleration (via User), z, 0.00441415514796972
2016-11-27T20:13:59Z, Attitude, Roll, -0.0144985422835822
2016-11-27T20:13:59Z, Attitude, Yaw, 1.20493309701475
2016-11-27T20:13:59Z, Attitude, Pitch, -0.0219781816440128
2016-11-27T20:13:59Z, Magnetometer (corrected for device), x, 9.4310302734375
2016-11-27T20:13:59Z, Magnetometer (corrected for device), y, -37.6320610046387
2016-11-27T20:13:59Z, Magnetometer (corrected for device), z, -39.4752807617188
