Timestamp, Data Source, Data, Display Value, Raw Value
2016-11-29T19:42:07Z, GPS, Latitude, 42.3388409499323
2016-11-29T19:42:07Z, GPS, Longitude, -71.0881848600808
2016-11-29T19:42:07Z, GPS, Altitude, 9.6714448928833
2016-11-29T19:42:07Z, GPS, Horizontal Accuracy, 65.0
2016-11-29T19:42:07Z, Acceleration (via User), x, 0.00210396689362824
2016-11-29T19:42:07Z, Acceleration (via User), y, 0.0371296480298042
2016-11-29T19:42:07Z, Acceleration (via User), z, -0.0238805394619703
2016-11-29T19:42:07Z, Attitude, Roll, 0.00667140357289913
2016-11-29T19:42:07Z, Attitude, Yaw, -0.00061287393656651
2016-11-29T19:42:07Z, Attitude, Pitch, 0.478472458930283
2016-11-29T19:42:07Z, Magnetometer (corrected for device), x, 0.0
2016-11-29T19:42:07Z, Magnetometer (corrected for device), y, 0.0
2016-11-29T19:42:07Z, Magnetometer (corrected for device), z, 0.0
2016-11-29T19:42:07Z, Magnetometer (corrected for device), Estimated Accuracy, Uncalibrated
2016-11-29T19:42:07Z, GPS, Latitude, 42.3395794907763
2016-11-29T19:42:07Z, GPS, Longitude, -71.0867421041813
2016-11-29T19:42:07Z, GPS, Altitude, 9.6714448928833
2016-11-29T19:42:07Z, GPS, Horizontal Accuracy, 485.999559050966
2016-11-29T19:42:07Z, GPS, Latitude, 42.3388057888068
2016-11-29T19:42:07Z, GPS, Longitude, -71.0881001705204
2016-11-29T19:42:07Z, GPS, Altitude, 9.00641441345215
2016-11-29T19:42:07Z, GPS, Horizontal Accuracy, 65.0
2016-11-29T19:42:14Z, GPS, Latitude, 42.338785794475
2016-11-29T19:42:14Z, GPS, Longitude, -71.0881716132043
2016-11-29T19:42:14Z, GPS, Altitude, 9.7018461227417
2016-11-29T19:42:14Z, GPS, Horizontal Accuracy, 65.0
2016-11-29T19:42:16Z, Magnetometer (corrected for device), x, -42.2212829589844
2016-11-29T19:42:16Z, Magnetometer (corrected for device), y, 31.0328063964844
2016-11-29T19:42:16Z, Magnetometer (corrected for device), z, -14.2835693359375
2016-11-29T19:42:16Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-29T19:42:16Z, Acceleration (via User), x, -0.00689803902059793
2016-11-29T19:42:16Z, Acceleration (via User), y, 0.0360047221183777
2016-11-29T19:42:16Z, Acceleration (via User), z, -0.073938213288784
2016-11-29T19:42:16Z, Attitude, Roll, -0.0522804462863569
2016-11-29T19:42:16Z, Attitude, Yaw, -0.15732612503224
2016-11-29T19:42:16Z, Attitude, Pitch, 0.391990056490132
2016-11-29T19:42:20Z, GPS, Latitude, 42.3387824442847
2016-11-29T19:42:20Z, GPS, Longitude, -71.0882334401864
2016-11-29T19:42:20Z, GPS, Altitude, 10.1089811325073
2016-11-29T19:42:20Z, GPS, Horizontal Accuracy, 65.0
2016-11-29T19:42:20Z, GPS, Latitude, 42.3387812897478
2016-11-29T19:42:20Z, GPS, Longitude, -71.0882233670238
2016-11-29T19:42:20Z, GPS, Altitude, 10.0959596633911
2016-11-29T19:42:20Z, GPS, Horizontal Accuracy, 65.0
2016-11-29T19:42:25Z, Magnetometer (corrected for device), x, -9.8896484375
2016-11-29T19:42:25Z, Magnetometer (corrected for device), y, 29.3718414306641
2016-11-29T19:42:25Z, Magnetometer (corrected for device), z, 30.9666748046875
2016-11-29T19:42:25Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-29T19:42:25Z, Acceleration (via User), x, 0.0334959886968136
2016-11-29T19:42:25Z, Acceleration (via User), y, 0.00330640282481909
2016-11-29T19:42:25Z, Acceleration (via User), z, -0.00723294448107481
2016-11-29T19:42:25Z, Attitude, Roll, 0.593327031320767
2016-11-29T19:42:25Z, Attitude, Yaw, 1.01432949784032
2016-11-29T19:42:25Z, Attitude, Pitch, -1.45892252920973
2016-11-29T19:42:26Z, GPS, Latitude, 42.3387539512657
2016-11-29T19:42:26Z, GPS, Longitude, -71.0882271158488
2016-11-29T19:42:26Z, GPS, Altitude, 10.0442790985107
2016-11-29T19:42:26Z, GPS, Horizontal Accuracy, 65.0
2016-11-29T19:42:32Z, GPS, Latitude, 42.3387743341887
2016-11-29T19:42:32Z, GPS, Longitude, -71.0882400847836
2016-11-29T19:42:32Z, GPS, Altitude, 10.1106271743774
2016-11-29T19:42:32Z, GPS, Horizontal Accuracy, 65.0
2016-11-29T19:42:32Z, GPS, Latitude, 42.3387761340978
2016-11-29T19:42:32Z, GPS, Longitude, -71.0882405607247
2016-11-29T19:42:32Z, GPS, Altitude, 10.1156072616577
2016-11-29T19:42:32Z, GPS, Horizontal Accuracy, 65.0
2016-11-29T19:42:34Z, Magnetometer (corrected for device), x, -35.2317352294922
2016-11-29T19:42:34Z, Magnetometer (corrected for device), y, 27.3959350585938
2016-11-29T19:42:34Z, Magnetometer (corrected for device), z, -20.6287231445312
2016-11-29T19:42:34Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-29T19:42:34Z, Acceleration (via User), x, -0.00142324005719274
2016-11-29T19:42:34Z, Acceleration (via User), y, 0.000847936142235994
2016-11-29T19:42:34Z, Acceleration (via User), z, 0.0057975105009973
2016-11-29T19:42:34Z, Attitude, Roll, -0.0163703066927801
2016-11-29T19:42:34Z, Attitude, Yaw, 0.136692593361832
2016-11-29T19:42:34Z, Attitude, Pitch, -0.0114203784893361
2016-11-29T19:42:41Z, GPS, Latitude, 42.3387790307584
2016-11-29T19:42:41Z, GPS, Longitude, -71.088234948579
2016-11-29T19:42:41Z, GPS, Altitude, 7.69096755981445
2016-11-29T19:42:41Z, GPS, Horizontal Accuracy, 200.0
2016-11-29T19:42:42Z, GPS, Latitude, 42.3387872543723
2016-11-29T19:42:42Z, GPS, Longitude, -71.0881934664517
2016-11-29T19:42:42Z, GPS, Altitude, 6.88345050811768
2016-11-29T19:42:42Z, GPS, Horizontal Accuracy, 200.0
2016-11-29T19:42:42Z, GPS, Latitude, 42.3388045795589
2016-11-29T19:42:42Z, GPS, Longitude, -71.088240113705
2016-11-29T19:42:42Z, GPS, Altitude, 8.26772117614746
2016-11-29T19:42:42Z, GPS, Horizontal Accuracy, 65.0
2016-11-29T19:42:43Z, Magnetometer (corrected for device), x, -34.4817352294922
2016-11-29T19:42:43Z, Magnetometer (corrected for device), y, 27.3955078125
2016-11-29T19:42:43Z, Magnetometer (corrected for device), z, -12.3045043945312
2016-11-29T19:42:43Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-29T19:42:43Z, Acceleration (via User), x, -0.000469673803308979
2016-11-29T19:42:43Z, Acceleration (via User), y, 8.34556267363951e-05
2016-11-29T19:42:43Z, Acceleration (via User), z, 0.00614806823432446
2016-11-29T19:42:43Z, Attitude, Roll, -0.0171562304653373
2016-11-29T19:42:43Z, Attitude, Yaw, 0.136737799097525
2016-11-29T19:42:43Z, Attitude, Pitch, -0.0116355569173399
2016-11-29T19:42:51Z, GPS, Latitude, 42.3388046337381
2016-11-29T19:42:51Z, GPS, Longitude, -71.0882336777889
2016-11-29T19:42:51Z, GPS, Altitude, 7.7970085144043
2016-11-29T19:42:51Z, GPS, Horizontal Accuracy, 200.0
2016-11-29T19:42:52Z, GPS, Latitude, 42.3388049795127
2016-11-29T19:42:52Z, GPS, Longitude, -71.0881925866716
2016-11-29T19:42:52Z, GPS, Altitude, 7.45403718948364
2016-11-29T19:42:52Z, GPS, Horizontal Accuracy, 200.0
2016-11-29T19:42:52Z, Magnetometer (corrected for device), x, -34.6314392089844
2016-11-29T19:42:52Z, Magnetometer (corrected for device), y, 27.3194732666016
2016-11-29T19:42:52Z, Magnetometer (corrected for device), z, -11.7051696777344
2016-11-29T19:42:52Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-29T19:42:52Z, Acceleration (via User), x, -0.000303981738397852
2016-11-29T19:42:52Z, Acceleration (via User), y, -0.000281498243566602
2016-11-29T19:42:52Z, Acceleration (via User), z, 0.00421625887975097
2016-11-29T19:42:52Z, Attitude, Roll, -0.0168945937302182
2016-11-29T19:42:52Z, Attitude, Yaw, 0.137470162712134
2016-11-29T19:42:52Z, Attitude, Pitch, -0.0114969614804605
2016-11-29T19:42:53Z, GPS, Latitude, 42.3388052188959
2016-11-29T19:42:53Z, GPS, Longitude, -71.088164138972
2016-11-29T19:42:53Z, GPS, Altitude, 7.19301223754883
2016-11-29T19:42:53Z, GPS, Horizontal Accuracy, 200.0
2016-11-29T19:42:54Z, GPS, Latitude, 42.3388053846227
2016-11-29T19:42:54Z, GPS, Longitude, -71.0881444444105
2016-11-29T19:42:54Z, GPS, Altitude, 6.98769760131836
2016-11-29T19:42:54Z, GPS, Horizontal Accuracy, 200.0
2016-11-29T19:42:55Z, GPS, Latitude, 42.3388054993567
2016-11-29T19:42:55Z, GPS, Longitude, -71.088130809714
2016-11-29T19:42:55Z, GPS, Altitude, 6.82197666168213
2016-11-29T19:42:55Z, GPS, Horizontal Accuracy, 200.0
2016-11-29T19:42:56Z, GPS, Latitude, 42.3388055787879
2016-11-29T19:42:56Z, GPS, Longitude, -71.0881213703086
2016-11-29T19:42:56Z, GPS, Altitude, 6.68540287017822
2016-11-29T19:42:56Z, GPS, Horizontal Accuracy, 200.0
2016-11-29T19:42:57Z, GPS, Latitude, 42.3388056337787
2016-11-29T19:42:57Z, GPS, Longitude, -71.0881148353357
2016-11-29T19:42:57Z, GPS, Altitude, 6.57090711593628
2016-11-29T19:42:57Z, GPS, Horizontal Accuracy, 200.0
2016-11-29T19:42:58Z, GPS, Latitude, 42.3388056718493
2016-11-29T19:42:58Z, GPS, Longitude, -71.0881103111236
2016-11-29T19:42:58Z, GPS, Altitude, 6.47353601455688
2016-11-29T19:42:58Z, GPS, Horizontal Accuracy, 200.0
2016-11-29T19:42:59Z, GPS, Latitude, 42.3388056982059
2016-11-29T19:42:59Z, GPS, Longitude, -71.0881071789768
2016-11-29T19:42:59Z, GPS, Altitude, 6.38971424102783
2016-11-29T19:42:59Z, GPS, Horizontal Accuracy, 200.0
2016-11-29T19:43:00Z, GPS, Latitude, 42.3388057164527
2016-11-29T19:43:00Z, GPS, Longitude, -71.0881050105675
2016-11-29T19:43:00Z, GPS, Altitude, 6.31679725646973
2016-11-29T19:43:00Z, GPS, Horizontal Accuracy, 200.0
2016-11-29T19:43:01Z, GPS, Latitude, 42.3388057290851
2016-11-29T19:43:01Z, GPS, Longitude, -71.0881035093611
2016-11-29T19:43:01Z, GPS, Altitude, 6.2527871131897
2016-11-29T19:43:01Z, GPS, Horizontal Accuracy, 200.0
2016-11-29T19:43:01Z, Magnetometer (corrected for device), x, -34.1817474365234
2016-11-29T19:43:01Z, Magnetometer (corrected for device), y, 27.39697265625
2016-11-29T19:43:01Z, Magnetometer (corrected for device), z, -12.2297973632812
2016-11-29T19:43:01Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-29T19:43:01Z, Acceleration (via User), x, 0.000897885940503329
2016-11-29T19:43:01Z, Acceleration (via User), y, -0.000574708043131977
2016-11-29T19:43:01Z, Acceleration (via User), z, 0.000945817679166794
2016-11-29T19:43:01Z, Attitude, Roll, -0.0165094059940746
2016-11-29T19:43:01Z, Attitude, Yaw, 0.138157928542062
2016-11-29T19:43:01Z, Attitude, Pitch, -0.0111645395760308
2016-11-29T19:43:02Z, GPS, Latitude, 42.3388057378306
2016-11-29T19:43:02Z, GPS, Longitude, -71.0881024700643
2016-11-29T19:43:02Z, GPS, Altitude, 6.19493913650513
2016-11-29T19:43:02Z, GPS, Horizontal Accuracy, 200.0
2016-11-29T19:43:03Z, GPS, Latitude, 42.3388057438852
2016-11-29T19:43:03Z, GPS, Longitude, -71.0881017505512
2016-11-29T19:43:03Z, GPS, Altitude, 6.14049434661865
2016-11-29T19:43:03Z, GPS, Horizontal Accuracy, 200.0
2016-11-29T19:43:04Z, GPS, Latitude, 42.3388057480769
2016-11-29T19:43:04Z, GPS, Longitude, -71.0881012524268
2016-11-29T19:43:04Z, GPS, Altitude, 6.08925247192383
2016-11-29T19:43:04Z, GPS, Horizontal Accuracy, 200.0
2016-11-29T19:43:05Z, GPS, Latitude, 42.3388057509788
2016-11-29T19:43:05Z, GPS, Longitude, -71.0881009075714
2016-11-29T19:43:05Z, GPS, Altitude, 6.04102516174316
2016-11-29T19:43:05Z, GPS, Horizontal Accuracy, 200.0
2016-11-29T19:43:06Z, GPS, Latitude, 42.3388057529878
2016-11-29T19:43:06Z, GPS, Longitude, -71.0881006688254
2016-11-29T19:43:06Z, GPS, Altitude, 5.99563503265381
2016-11-29T19:43:06Z, GPS, Horizontal Accuracy, 200.0
2016-11-29T19:43:07Z, GPS, Latitude, 42.3388057543786
2016-11-29T19:43:07Z, GPS, Longitude, -71.0881005035397
2016-11-29T19:43:07Z, GPS, Altitude, 5.95291519165039
2016-11-29T19:43:07Z, GPS, Horizontal Accuracy, 200.0
2016-11-29T19:43:08Z, GPS, Latitude, 42.3388057553415
2016-11-29T19:43:08Z, GPS, Longitude, -71.0881003891111
2016-11-29T19:43:08Z, GPS, Altitude, 5.91270875930786
2016-11-29T19:43:08Z, GPS, Horizontal Accuracy, 200.0
2016-11-29T19:43:09Z, GPS, Latitude, 42.3388057560082
2016-11-29T19:43:09Z, GPS, Longitude, -71.0881003098914
2016-11-29T19:43:09Z, GPS, Altitude, 5.87486743927002
2016-11-29T19:43:09Z, GPS, Horizontal Accuracy, 200.0
2016-11-29T19:43:10Z, GPS, Latitude, 42.3388057564697
2016-11-29T19:43:10Z, GPS, Longitude, -71.0881002550469
2016-11-29T19:43:10Z, GPS, Altitude, 5.83925247192383
2016-11-29T19:43:10Z, GPS, Horizontal Accuracy, 200.0
2016-11-29T19:43:10Z, Magnetometer (corrected for device), x, -34.5552368164062
2016-11-29T19:43:10Z, Magnetometer (corrected for device), y, 27.0201110839844
2016-11-29T19:43:10Z, Magnetometer (corrected for device), z, -12.2333679199219
2016-11-29T19:43:10Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-29T19:43:10Z, Acceleration (via User), x, 0.000580523919779807
2016-11-29T19:43:10Z, Acceleration (via User), y, -0.000931707676500082
2016-11-29T19:43:10Z, Acceleration (via User), z, 0.0047031557187438
2016-11-29T19:43:10Z, Attitude, Roll, -0.0162072640428306
2016-11-29T19:43:10Z, Attitude, Yaw, 0.138974962256886
2016-11-29T19:43:10Z, Attitude, Pitch, -0.0112774056979077
2016-11-29T19:43:18Z, GPS, Latitude, 42.3388083726631
2016-11-29T19:43:18Z, GPS, Longitude, -71.0880953366287
2016-11-29T19:43:18Z, GPS, Altitude, 5.83925247192383
2016-11-29T19:43:18Z, GPS, Horizontal Accuracy, 100.00004231133
2016-11-29T19:43:19Z, Magnetometer (corrected for device), x, -34.3293304443359
2016-11-29T19:43:19Z, Magnetometer (corrected for device), y, 26.7963104248047
2016-11-29T19:43:19Z, Magnetometer (corrected for device), z, -12.3859558105469
2016-11-29T19:43:19Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-29T19:43:19Z, Acceleration (via User), x, 0.00148777652066201
2016-11-29T19:43:19Z, Acceleration (via User), y, -2.9859638743801e-05
2016-11-29T19:43:19Z, Acceleration (via User), z, 0.0044778399169445
2016-11-29T19:43:19Z, Attitude, Roll, -0.0160616124136424
2016-11-29T19:43:19Z, Attitude, Yaw, 0.139421669603347
2016-11-29T19:43:19Z, Attitude, Pitch, -0.0111690078691116
2016-11-29T19:43:28Z, Magnetometer (corrected for device), x, -34.3308410644531
2016-11-29T19:43:28Z, Magnetometer (corrected for device), y, 27.1711578369141
2016-11-29T19:43:28Z, Magnetometer (corrected for device), z, -12.08203125
2016-11-29T19:43:28Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-29T19:43:28Z, Acceleration (via User), x, 0.000868761679157615
2016-11-29T19:43:28Z, Acceleration (via User), y, 0.000502103066537529
2016-11-29T19:43:28Z, Acceleration (via User), z, 0.0035316429566592
2016-11-29T19:43:28Z, Attitude, Roll, -0.0160376943862953
2016-11-29T19:43:28Z, Attitude, Yaw, 0.140023383903068
2016-11-29T19:43:28Z, Attitude, Pitch, -0.0112168821456624
2016-11-29T19:43:37Z, Magnetometer (corrected for device), x, -34.3299407958984
2016-11-29T19:43:37Z, Magnetometer (corrected for device), y, 26.9458312988281
2016-11-29T19:43:37Z, Magnetometer (corrected for device), z, -11.4093933105469
2016-11-29T19:43:37Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-29T19:43:37Z, Acceleration (via User), x, -0.000281281187199056
2016-11-29T19:43:37Z, Acceleration (via User), y, -0.000322559004416689
2016-11-29T19:43:37Z, Acceleration (via User), z, 0.00319544458761811
2016-11-29T19:43:37Z, Attitude, Roll, -0.0160473269498492
2016-11-29T19:43:37Z, Attitude, Yaw, 0.140369752302472
2016-11-29T19:43:37Z, Attitude, Pitch, -0.0112480891556603
2016-11-29T19:43:46Z, Magnetometer (corrected for device), x, -36.0426025390625
2016-11-29T19:43:46Z, Magnetometer (corrected for device), y, 23.8622741699219
2016-11-29T19:43:46Z, Magnetometer (corrected for device), z, -11.4400634765625
2016-11-29T19:43:46Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-29T19:43:46Z, Acceleration (via User), x, -0.00011417852510931
2016-11-29T19:43:46Z, Acceleration (via User), y, -0.000339046673616394
2016-11-29T19:43:46Z, Acceleration (via User), z, 0.00548820290714502
2016-11-29T19:43:46Z, Attitude, Roll, -0.0139404595313799
2016-11-29T19:43:46Z, Attitude, Yaw, 0.0725306912368692
2016-11-29T19:43:46Z, Attitude, Pitch, -0.0109899026552247
2016-11-29T19:43:55Z, Magnetometer (corrected for device), x, -36.3419952392578
2016-11-29T19:43:55Z, Magnetometer (corrected for device), y, 23.7107086181641
2016-11-29T19:43:55Z, Magnetometer (corrected for device), z, -11.2913208007812
2016-11-29T19:43:55Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-29T19:43:55Z, Acceleration (via User), x, 0.001134984777309
2016-11-29T19:43:55Z, Acceleration (via User), y, 0.000954845629166812
2016-11-29T19:43:55Z, Acceleration (via User), z, 0.00579532794654369
2016-11-29T19:43:55Z, Attitude, Roll, -0.0133280419086572
2016-11-29T19:43:55Z, Attitude, Yaw, 0.0717481618027649
2016-11-29T19:43:55Z, Attitude, Pitch, -0.0115576186982564
2016-11-29T19:44:01Z, GPS, Latitude, 42.3387171817693
2016-11-29T19:44:01Z, GPS, Longitude, -71.0881857725761
2016-11-29T19:44:01Z, GPS, Altitude, 6.26119089126587
2016-11-29T19:44:01Z, GPS, Horizontal Accuracy, 65.0
2016-11-29T19:44:02Z, GPS, Latitude, 42.3387199779779
2016-11-29T19:44:02Z, GPS, Longitude, -71.0881883265493
2016-11-29T19:44:02Z, GPS, Altitude, 6.6413311958313
2016-11-29T19:44:02Z, GPS, Horizontal Accuracy, 65.0
2016-11-29T19:44:02Z, GPS, Latitude, 42.338720990322
2016-11-29T19:44:02Z, GPS, Longitude, -71.0881892511974
2016-11-29T19:44:02Z, GPS, Altitude, 6.98105096817017
2016-11-29T19:44:02Z, GPS, Horizontal Accuracy, 65.0
2016-11-29T19:44:02Z, GPS, Latitude, 42.3387213568331
2016-11-29T19:44:02Z, GPS, Longitude, -71.0881895859589
2016-11-29T19:44:02Z, GPS, Altitude, 7.28468990325928
2016-11-29T19:44:02Z, GPS, Horizontal Accuracy, 65.0
2016-11-29T19:44:02Z, GPS, Latitude, 42.3387214895256
2016-11-29T19:44:02Z, GPS, Longitude, -71.0881897071567
2016-11-29T19:44:02Z, GPS, Altitude, 7.55607938766479
2016-11-29T19:44:02Z, GPS, Horizontal Accuracy, 65.0
2016-11-29T19:44:02Z, GPS, Latitude, 42.3387215375658
2016-11-29T19:44:02Z, GPS, Longitude, -71.0881897510353
2016-11-29T19:44:02Z, GPS, Altitude, 7.79864454269409
2016-11-29T19:44:02Z, GPS, Horizontal Accuracy, 65.0
2016-11-29T19:44:02Z, GPS, Latitude, 42.3387215549584
2016-11-29T19:44:02Z, GPS, Longitude, -71.0881897669213
2016-11-29T19:44:02Z, GPS, Altitude, 8.01544761657715
2016-11-29T19:44:02Z, GPS, Horizontal Accuracy, 65.0
2016-11-29T19:44:02Z, GPS, Latitude, 42.3387215612552
2016-11-29T19:44:02Z, GPS, Longitude, -71.0881897726726
2016-11-29T19:44:02Z, GPS, Altitude, 8.20922374725342
2016-11-29T19:44:02Z, GPS, Horizontal Accuracy, 65.0
2016-11-29T19:44:04Z, Magnetometer (corrected for device), x, -36.1913909912109
2016-11-29T19:44:04Z, Magnetometer (corrected for device), y, 23.5617980957031
2016-11-29T19:44:04Z, Magnetometer (corrected for device), z, -11.9680480957031
2016-11-29T19:44:04Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-29T19:44:04Z, Acceleration (via User), x, 0.000364478037226945
2016-11-29T19:44:04Z, Acceleration (via User), y, -0.000762416457291692
2016-11-29T19:44:04Z, Acceleration (via User), z, 0.00330771622247994
2016-11-29T19:44:04Z, Attitude, Roll, -0.0133662559162317
2016-11-29T19:44:04Z, Attitude, Yaw, 0.0709828936609417
2016-11-29T19:44:04Z, Attitude, Pitch, -0.0115506371386815
2016-11-29T19:44:11Z, GPS, Latitude, 42.3387226046852
2016-11-29T19:44:11Z, GPS, Longitude, -71.0881878441091
2016-11-29T19:44:11Z, GPS, Altitude, 8.20922374725342
2016-11-29T19:44:11Z, GPS, Horizontal Accuracy, 65.0
2016-11-29T19:44:12Z, GPS, Latitude, 42.3387771117737
2016-11-29T19:44:12Z, GPS, Longitude, -71.0882518452072
2016-11-29T19:44:12Z, GPS, Altitude, 8.45670318603516
2016-11-29T19:44:12Z, GPS, Horizontal Accuracy, 65.0
2016-11-29T19:44:13Z, GPS, Latitude, 42.3387913478959
2016-11-29T19:44:13Z, GPS, Longitude, -71.0882683731793
2016-11-29T19:44:13Z, GPS, Altitude, 8.67336750030518
2016-11-29T19:44:13Z, GPS, Horizontal Accuracy, 65.0
