Timestamp, Data Source, Data, Display Value, Raw Value
2016-11-23T19:02:15Z, GPS, Latitude, 42.3387620877426
2016-11-23T19:02:15Z, GPS, Longitude, -71.088197500832
2016-11-23T19:02:15Z, GPS, Altitude, 9.94662094116211
2016-11-23T19:02:15Z, GPS, Horizontal Accuracy, 65.0
2016-11-23T19:02:15Z, Attitude, Roll, 0.203368920460225
2016-11-23T19:02:15Z, Attitude, Yaw, -0.0557154669805706
2016-11-23T19:02:15Z, Attitude, Pitch, 0.521457524636895
2016-11-23T19:02:15Z, Acceleration (via User), x, -0.050371091812849
2016-11-23T19:02:15Z, Acceleration (via User), y, 0.0654204785823822
2016-11-23T19:02:15Z, Acceleration (via User), z, 0.0607420578598976
2016-11-23T19:02:15Z, Magnetometer (corrected for device), x, 0.0
2016-11-23T19:02:15Z, Magnetometer (corrected for device), y, 0.0
2016-11-23T19:02:15Z, Magnetometer (corrected for device), z, 0.0
2016-11-23T19:02:15Z, Magnetometer (corrected for device), Estimated Accuracy, Uncalibrated
2016-11-23T19:02:15Z, GPS, Latitude, 42.3387620877426
2016-11-23T19:02:15Z, GPS, Longitude, -71.088197500832
2016-11-23T19:02:15Z, GPS, Altitude, 9.94662094116211
2016-11-23T19:02:15Z, GPS, Horizontal Accuracy, 65.0
2016-11-23T19:02:20Z, GPS, Latitude, 42.3387683417324
2016-11-23T19:02:20Z, GPS, Longitude, -71.0882070676411
2016-11-23T19:02:20Z, GPS, Altitude, 9.98202705383301
2016-11-23T19:02:20Z, GPS, Horizontal Accuracy, 65.0
2016-11-23T19:02:24Z, Magnetometer (corrected for device), x, 28.9367218017578
2016-11-23T19:02:24Z, Magnetometer (corrected for device), y, 35.3990898132324
2016-11-23T19:02:24Z, Magnetometer (corrected for device), z, 27.6903076171875
2016-11-23T19:02:24Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-23T19:02:24Z, Attitude, Roll, -0.858249121030592
2016-11-23T19:02:24Z, Attitude, Yaw, 1.23285204254946
2016-11-23T19:02:24Z, Attitude, Pitch, -0.134918575256954
2016-11-23T19:02:24Z, Acceleration (via User), x, 0.0671136602759361
2016-11-23T19:02:24Z, Acceleration (via User), y, -0.006122175604105
2016-11-23T19:02:24Z, Acceleration (via User), z, 0.0345103777945042
2016-11-23T19:02:29Z, GPS, Latitude, 42.3387674997805
2016-11-23T19:02:29Z, GPS, Longitude, -71.0882030999223
2016-11-23T19:02:29Z, GPS, Altitude, 9.98202705383301
2016-11-23T19:02:29Z, GPS, Horizontal Accuracy, 147.448602818056
2016-11-23T19:02:32Z, GPS, Latitude, 42.3387722560027
2016-11-23T19:02:32Z, GPS, Longitude, -71.0882060411221
2016-11-23T19:02:32Z, GPS, Altitude, 10.0800123214722
2016-11-23T19:02:32Z, GPS, Horizontal Accuracy, 65.0
