Timestamp, Data Source, Data, Display Value, Raw Value
2016-11-28T17:19:16Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:17Z, GPS, Latitude, 42.3386899816094
2016-11-28T17:19:17Z, GPS, Longitude, -71.0881577112324
2016-11-28T17:19:17Z, GPS, Altitude, 8.94456577301025
2016-11-28T17:19:17Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:18Z, GPS, Latitude, 42.3386744366729
2016-11-28T17:19:18Z, GPS, Longitude, -71.0881355584945
2016-11-28T17:19:18Z, GPS, Altitude, 8.60890579223633
2016-11-28T17:19:18Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:19Z, GPS, Latitude, 42.3386636747937
2016-11-28T17:19:19Z, GPS, Longitude, -71.0881202219835
2016-11-28T17:19:19Z, GPS, Altitude, 8.32941150665283
2016-11-28T17:19:19Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:20Z, GPS, Latitude, 42.3386562242619
2016-11-28T17:19:20Z, GPS, Longitude, -71.0881096043988
2016-11-28T17:19:20Z, GPS, Altitude, 8.0930700302124
2016-11-28T17:19:20Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:21Z, GPS, Latitude, 42.3386510662014
2016-11-28T17:19:21Z, GPS, Longitude, -71.0881022537632
2016-11-28T17:19:21Z, GPS, Altitude, 7.89060688018799
2016-11-28T17:19:21Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:22Z, GPS, Latitude, 42.3386474952364
2016-11-28T17:19:22Z, GPS, Longitude, -71.0880971648617
2016-11-28T17:19:22Z, GPS, Altitude, 7.71521949768066
2016-11-28T17:19:22Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:23Z, GPS, Latitude, 42.3386450230299
2016-11-28T17:19:23Z, GPS, Longitude, -71.088093641776
2016-11-28T17:19:23Z, GPS, Altitude, 7.56181812286377
2016-11-28T17:19:23Z, GPS, Horizontal Accuracy, 200.0
2016-11-28T17:19:23Z, Acceleration (via User), x, 0.000713851011823863
2016-11-28T17:19:23Z, Acceleration (via User), y, -0.000285905378405005
2016-11-28T17:19:23Z, Acceleration (via User), z, 0.00298221665434539
2016-11-28T17:19:23Z, Attitude, Roll, 0.112289283408243
2016-11-28T17:19:23Z, Attitude, Yaw, -1.17122371136167
2016-11-28T17:19:23Z, Attitude, Pitch, 0.00931200753219343
2016-11-28T17:19:23Z, Magnetometer (corrected for device), x, -27.5942764282227
2016-11-28T17:19:23Z, Magnetometer (corrected for device), y, -27.4674949645996
2016-11-28T17:19:23Z, Magnetometer (corrected for device), z, -27.6807250976562
