Timestamp, Data Source, Data, Display Value, Raw Value
2016-11-15T15:38:08Z, GPS, Latitude, 42.3387954028797
2016-11-15T15:38:08Z, GPS, Longitude, -71.0882117163108
2016-11-15T15:38:08Z, GPS, Altitude, 10.3877830505371
2016-11-15T15:38:08Z, GPS, Horizontal Accuracy, 65.0
2016-11-15T15:38:08Z, Acceleration (via User), x, 0.0185386203229427
2016-11-15T15:38:08Z, Acceleration (via User), y, 0.00727800279855728
2016-11-15T15:38:08Z, Acceleration (via User), z, 0.0270065180957317
2016-11-15T15:38:08Z, Attitude, Roll, -0.041175352837157
2016-11-15T15:38:08Z, Attitude, Yaw, -1.37474049813236
2016-11-15T15:38:08Z, Attitude, Pitch, 0.599714611672297
2016-11-15T15:38:08Z, Magnetometer (corrected for device), x, -7.70890140533447
2016-11-15T15:38:08Z, Magnetometer (corrected for device), y, -26.6899127960205
2016-11-15T15:38:08Z, Magnetometer (corrected for device), z, -29.8189392089844
2016-11-15T15:38:08Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-15T15:38:08Z, GPS, Latitude, 42.3387954028797
2016-11-15T15:38:08Z, GPS, Longitude, -71.0882117163108
2016-11-15T15:38:08Z, GPS, Altitude, 10.3877830505371
2016-11-15T15:38:08Z, GPS, Horizontal Accuracy, 65.0
2016-11-15T15:38:10Z, GPS, Latitude, 42.3387938797429
2016-11-15T15:38:10Z, GPS, Longitude, -71.0882101066832
2016-11-15T15:38:10Z, GPS, Altitude, 10.4153451919556
2016-11-15T15:38:10Z, GPS, Horizontal Accuracy, 65.0
2016-11-15T15:38:15Z, GPS, Latitude, 42.3388422712064
2016-11-15T15:38:15Z, GPS, Longitude, -71.0882074548576
2016-11-15T15:38:15Z, GPS, Altitude, 10.0887269973755
2016-11-15T15:38:15Z, GPS, Horizontal Accuracy, 65.0
2016-11-15T15:38:17Z, Acceleration (via User), x, -0.000854460231494159
2016-11-15T15:38:17Z, Acceleration (via User), y, 0.0011652905959636
2016-11-15T15:38:17Z, Acceleration (via User), z, 9.46660511544906e-05
2016-11-15T15:38:17Z, Attitude, Roll, 0.0244626901438955
2016-11-15T15:38:17Z, Attitude, Yaw, -1.53341011162254
2016-11-15T15:38:17Z, Attitude, Pitch, -0.00602163545601801
2016-11-15T15:38:17Z, Magnetometer (corrected for device), x, -8.37609195709229
2016-11-15T15:38:17Z, Magnetometer (corrected for device), y, -9.89341926574707
2016-11-15T15:38:17Z, Magnetometer (corrected for device), z, -29.4918823242188
2016-11-15T15:38:17Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-15T15:38:24Z, GPS, Latitude, 42.3388501204068
2016-11-15T15:38:24Z, GPS, Longitude, -71.0882051168318
2016-11-15T15:38:24Z, GPS, Altitude, 10.0887269973755
2016-11-15T15:38:24Z, GPS, Horizontal Accuracy, 65.0
2016-11-15T15:38:26Z, GPS, Latitude, 42.3388245001229
2016-11-15T15:38:26Z, GPS, Longitude, -71.0881977237581
2016-11-15T15:38:26Z, GPS, Altitude, 10.1542835235596
2016-11-15T15:38:26Z, GPS, Horizontal Accuracy, 65.0
2016-11-15T15:38:26Z, Acceleration (via User), x, -0.000821374997030944
2016-11-15T15:38:26Z, Acceleration (via User), y, -0.000637125223875046
2016-11-15T15:38:26Z, Acceleration (via User), z, 0.00157578464131802
2016-11-15T15:38:26Z, Attitude, Roll, 0.0237122531953095
2016-11-15T15:38:26Z, Attitude, Yaw, -1.53105024504632
2016-11-15T15:38:26Z, Attitude, Pitch, -0.00631343667565026
2016-11-15T15:38:26Z, Magnetometer (corrected for device), x, -7.77880191802979
2016-11-15T15:38:26Z, Magnetometer (corrected for device), y, -9.21539497375488
2016-11-15T15:38:26Z, Magnetometer (corrected for device), z, -29.5603637695312
2016-11-15T15:38:26Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-15T15:38:35Z, GPS, Latitude, 42.3388252339042
2016-11-15T15:38:35Z, GPS, Longitude, -71.0881964765472
2016-11-15T15:38:35Z, GPS, Altitude, 10.1542835235596
2016-11-15T15:38:35Z, GPS, Horizontal Accuracy, 65.0
2016-11-15T15:38:35Z, Acceleration (via User), x, 0.000239187414990738
2016-11-15T15:38:35Z, Acceleration (via User), y, -0.000294364173896611
2016-11-15T15:38:35Z, Acceleration (via User), z, 0.000610994582530111
2016-11-15T15:38:35Z, Attitude, Roll, 0.0231703514374874
2016-11-15T15:38:35Z, Attitude, Yaw, -1.52961193954868
