Timestamp, Data Source, Data, Display Value, Raw Value
2016-11-19T19:47:13Z, GPS, Altitude, 9.97772884368896
2016-11-19T19:47:13Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:47:20Z, Acceleration (via User), x, -0.000813949096482247
2016-11-19T19:47:20Z, Acceleration (via User), y, 0.00107989786192775
2016-11-19T19:47:20Z, Acceleration (via User), z, 0.00422949157655239
2016-11-19T19:47:20Z, Attitude, Roll, -0.0373875194360607
2016-11-19T19:47:20Z, Attitude, Yaw, 0.281811382660159
2016-11-19T19:47:20Z, Attitude, Pitch, 0.000728945720000939
2016-11-19T19:47:20Z, Magnetometer (corrected for device), x, -12.6523323059082
2016-11-19T19:47:20Z, Magnetometer (corrected for device), y, 5.85654449462891
2016-11-19T19:47:20Z, Magnetometer (corrected for device), z, -46.9460144042969
2016-11-19T19:47:20Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-19T19:47:22Z, GPS, Latitude, 42.338842644959
2016-11-19T19:47:22Z, GPS, Longitude, -71.0882393683393
2016-11-19T19:47:22Z, GPS, Altitude, 9.97772884368896
2016-11-19T19:47:22Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:47:25Z, GPS, Latitude, 42.3388303076694
2016-11-19T19:47:25Z, GPS, Longitude, -71.088232688785
2016-11-19T19:47:25Z, GPS, Altitude, 10.0163793563843
2016-11-19T19:47:25Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:47:29Z, Attitude, Roll, -0.0372464494233796
2016-11-19T19:47:29Z, Attitude, Yaw, 0.28148054992722
2016-11-19T19:47:29Z, Attitude, Pitch, 0.00100398037713243
2016-11-19T19:47:29Z, Acceleration (via User), x, -0.000375095783965662
2016-11-19T19:47:29Z, Acceleration (via User), y, 0.000302075903164223
2016-11-19T19:47:29Z, Acceleration (via User), z, 0.00380727043375373
2016-11-19T19:47:29Z, Magnetometer (corrected for device), x, -11.6740455627441
2016-11-19T19:47:29Z, Magnetometer (corrected for device), y, 5.03704071044922
2016-11-19T19:47:29Z, Magnetometer (corrected for device), z, -48.1556091308594
2016-11-19T19:47:29Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-19T19:47:34Z, GPS, Latitude, 42.3388310524241
2016-11-19T19:47:34Z, GPS, Longitude, -71.08823143966
2016-11-19T19:47:34Z, GPS, Altitude, 10.0163793563843
2016-11-19T19:47:34Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:47:37Z, GPS, Latitude, 42.3388265540695
2016-11-19T19:47:37Z, GPS, Longitude, -71.0882377238289
2016-11-19T19:47:37Z, GPS, Altitude, 10.0706586837769
2016-11-19T19:47:37Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:47:38Z, Attitude, Roll, -0.0373538754008908
2016-11-19T19:47:38Z, Attitude, Yaw, 0.281962148134165
2016-11-19T19:47:38Z, Attitude, Pitch, 0.000972653799673801
2016-11-19T19:47:38Z, Acceleration (via User), x, 0.000678301497828215
2016-11-19T19:47:38Z, Acceleration (via User), y, -0.000171755527844653
2016-11-19T19:47:38Z, Acceleration (via User), z, 0.00288776773959398
2016-11-19T19:47:38Z, Magnetometer (corrected for device), x, -11.8222389221191
2016-11-19T19:47:38Z, Magnetometer (corrected for device), y, 4.58641815185547
2016-11-19T19:47:38Z, Magnetometer (corrected for device), z, -48.3851928710938
2016-11-19T19:47:38Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-19T19:47:46Z, GPS, Latitude, 42.3388271445305
2016-11-19T19:47:46Z, GPS, Longitude, -71.0882367338232
2016-11-19T19:47:46Z, GPS, Altitude, 10.0706586837769
2016-11-19T19:47:46Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:47:47Z, Attitude, Roll, -0.0373215097788409
2016-11-19T19:47:47Z, Attitude, Yaw, 0.282009059353012
2016-11-19T19:47:47Z, Attitude, Pitch, 0.000793675250081373
2016-11-19T19:47:47Z, Acceleration (via User), x, 0.00012716552009806
2016-11-19T19:47:47Z, Acceleration (via User), y, 0.000122288445709273
2016-11-19T19:47:47Z, Acceleration (via User), z, 0.00446078926324844
2016-11-19T19:47:47Z, Magnetometer (corrected for device), x, -11.8231391906738
2016-11-19T19:47:47Z, Magnetometer (corrected for device), y, 4.81153106689453
2016-11-19T19:47:47Z, Magnetometer (corrected for device), z, -48.6078491210938
2016-11-19T19:47:47Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-19T19:47:48Z, GPS, Latitude, 42.3388547211825
2016-11-19T19:47:48Z, GPS, Longitude, -71.0882512913349
2016-11-19T19:47:48Z, GPS, Altitude, 10.0605278015137
2016-11-19T19:47:48Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:47:56Z, Attitude, Roll, -0.0374630520118593
2016-11-19T19:47:56Z, Attitude, Yaw, 0.282593572877582
2016-11-19T19:47:56Z, Attitude, Pitch, 0.00104777055776705
2016-11-19T19:47:56Z, Acceleration (via User), x, 0.000863692781422287
2016-11-19T19:47:56Z, Acceleration (via User), y, -0.000203450341359712
2016-11-19T19:47:56Z, Acceleration (via User), z, 0.0126339746639132
2016-11-19T19:47:56Z, Magnetometer (corrected for device), x, -11.8195533752441
2016-11-19T19:47:56Z, Magnetometer (corrected for device), y, 3.91230010986328
2016-11-19T19:47:56Z, Magnetometer (corrected for device), z, -50.1173095703125
2016-11-19T19:47:56Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-19T19:47:57Z, GPS, Latitude, 42.3388551932479
2016-11-19T19:47:57Z, GPS, Longitude, -71.0882504864851
2016-11-19T19:47:57Z, GPS, Altitude, 10.0605278015137
2016-11-19T19:47:57Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:48:05Z, GPS, Latitude, 42.3388366323178
2016-11-19T19:48:05Z, GPS, Longitude, -71.0882386192418
2016-11-19T19:48:05Z, GPS, Altitude, 10.0900201797485
2016-11-19T19:48:05Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:48:05Z, Attitude, Roll, -0.0372333783918904
2016-11-19T19:48:05Z, Attitude, Yaw, 0.282159547455999
2016-11-19T19:48:05Z, Attitude, Pitch, 0.000750521014482297
2016-11-19T19:48:05Z, Acceleration (via User), x, 0.000161166943144053
2016-11-19T19:48:05Z, Acceleration (via User), y, 0.000460603943793103
2016-11-19T19:48:05Z, Acceleration (via User), z, 0.00348754459992051
2016-11-19T19:48:05Z, Magnetometer (corrected for device), x, -11.9698524475098
2016-11-19T19:48:05Z, Magnetometer (corrected for device), y, 3.98673248291016
2016-11-19T19:48:05Z, Magnetometer (corrected for device), z, -50.4913330078125
2016-11-19T19:48:05Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-19T19:48:14Z, GPS, Latitude, 42.3388369999683
2016-11-19T19:48:14Z, GPS, Longitude, -71.0882379996355
2016-11-19T19:48:14Z, GPS, Altitude, 10.0900201797485
2016-11-19T19:48:14Z, GPS, Horizontal Accuracy, 65.0
