TIMESTAMP,DISTANCE,AVG_LAT,AVG_LNG,GPS_ACCURACY,AVG_SPEED_BY_GPS,ACCLERATOR_STD,MAX_ACCLERATOR,MIN_ACCLERATOR,PERCENTILE_25_ACCLERATOR,PERCENTILE_75_ACCLERATOR,ACCLERATOR_ENTROPY,AVG_ROLL,AVG_YAW,AVG_PITCH,WEEK_DAY,LABEL1,LABEL2
1479242700,0.0,42.33901685573381,-71.088249413362817,50.0,0.0,0.00028451758443636185,0.00071357751331291893,5.1627639594218139e-07,1.4757621203348806e-06,4.4251940601810165e-06,1.6094379124341005,-0.076236299736896218,-2.1152618342252461,0.090197198098529843,2,4,2
1479242730,12.092289556631465,42.338988530520147,-71.088241161888931,52.678571428571431,0.2015381592771911,6.9969049931782696e-06,2.0532965480898527e-05,1.0766402759492576e-07,1.5325823169686349e-06,4.0056761819455475e-06,1.7917594692280547,-0.03736088398406652,-2.1641841546309131,0.0233762387855973,2,4,2
1479242760,11.458846178009274,42.338825385251539,-71.088193495168767,65.0,0.1909807696334879,6.699140523736931e-06,2.0532965480898527e-05,1.0766402759492576e-07,8.1437566391752568e-07,3.5192252260009122e-06,1.945910149055313,-0.036994218957414352,-2.1627363143489116,0.023164725782312216,2,4,2
1479242790,2.8033786938812306,42.338800267083478,-71.088186772660507,65.0,0.046722978231353844,1.3985301506042936e-06,3.7761797772999265e-06,9.9320017040078238e-08,2.5518211681349652e-07,2.3522607708623017e-06,1.945910149055313,-0.036870778536850134,-2.1613709890012784,0.022989182434986533,2,4,2
1479242820,3.0823056861426315,42.338816468702774,-71.088195232326754,65.0,0.051371761435710525,4.3698119542201413e-06,1.2458709829557498e-05,9.9320017040078238e-08,4.3500811857185071e-07,2.0871098431495235e-06,1.7917594692280547,-0.036778000840903269,-2.1605972352151266,0.022784351383439098,2,4,2
1479242850,1.397517259762673,42.338831726013197,-71.088203552105767,65.0,0.023291954329377883,3.9282607118723072e-06,1.2458709829557498e-05,4.0550610105207037e-07,7.9649138260081634e-07,2.3264587500398293e-06,1.945910149055313,-0.036629429974253128,-2.1605283768909813,0.022722024688593644,2,4,2
1479242880,8.777062872236352,42.338894730442689,-71.088218045490166,60.0,0.1462843812039392,6.524745579341482e-07,2.167622578581587e-06,3.8273209570336527e-07,6.1502385520512096e-07,1.6881353347066413e-06,1.945910149055313,-0.036503555544405826,-2.1604103509608086,0.022671402329537155,2,4,2
1479242910,9.581185502417911,42.338994451049821,-71.088243069458684,108.125,0.15968642504029854,7.6520733087567781e-07,2.2608139770163691e-06,2.0295525027554295e-07,5.5480933732579106e-07,1.8679881630000497e-06,1.7917594692280547,-0.036376840474177254,-2.1603528680839017,0.022583658092359252,2,4,2
1479242940,0.0,42.339017484376505,-71.088249245724697,162.5,0.0,2.4924335183220202e-06,8.3317219029375056e-06,2.0295525027554295e-07,1.1308208949670635e-06,2.5925576033537913e-06,1.945910149055313,-0.036318405341326639,-2.1599234922704142,0.022587112550860274,2,4,2
1479242970,0.0,42.339017484376505,-71.088249245724697,200.0,0.0,2.3745716213514564e-06,8.3317219029375056e-06,9.9652255282065568e-07,1.1308208949670635e-06,3.1275622477784346e-06,1.945910149055313,-0.036283303439836948,-2.1594798691190058,0.022586668826173075,2,4,2
